time,measurement,value
2023-08-10 07:45:14.199340+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:14.371928+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:14.681821+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:15.147558+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:15.580584+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:15.731383+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:16.088069+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:16.400866+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:16.550683+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:16.909569+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:17.274717+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:17.593796+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:17.744952+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:17.929836+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:18.289740+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:18.642501+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:19.011377+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:19.508292+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:19.868347+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:20.029334+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:20.288604+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:20.442224+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:20.601551+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:20.794071+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:21.540677+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:21.884538+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:22.045741+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:22.500335+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:22.671565+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:23.200604+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:23.359458+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:23.513617+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:23.674791+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:23.831412+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:24.035819+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:24.377393+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:24.848592+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:25.528883+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:25.691046+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:26.009505+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:26.173125+00:00,dc_bus_voltage,0.0
2023-08-10 07:45:26.391535+00:00,dc_bus_voltage,0.0
